Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (døgn),Maksimumstemperatur (døgn),Minimumstemperatur (døgn)
Oslo - Blindern,SN18700,24.04.2024,5.5,8,3.7
Tromsø,SN90450,24.04.2024,2.9,7,-1.7
Oslo - Blindern,SN18700,25.04.2024,5,9.5,2.5
Tromsø,SN90450,25.04.2024,2.6,5.3,1.2
Oslo - Blindern,SN18700,26.04.2024,5.9,10.8,2.6
Tromsø,SN90450,26.04.2024,2.2,6.6,-1.9
Oslo - Blindern,SN18700,27.04.2024,6.3,12.6,-0.1
Tromsø,SN90450,27.04.2024,2.8,7.5,-1.9
Oslo - Blindern,SN18700,28.04.2024,4.9,10,1.6
Tromsø,SN90450,28.04.2024,3.2,7,-1.7
Oslo - Blindern,SN18700,29.04.2024,9,13.1,5.5
Tromsø,SN90450,29.04.2024,4.8,8.6,-0.6
Oslo - Blindern,SN18700,30.04.2024,12,19,5.9
Tromsø,SN90450,30.04.2024,5.5,9.5,-0.2
Oslo - Blindern,SN18700,01.05.2024,15.9,21.2,10.7
Tromsø,SN90450,01.05.2024,6.4,9.7,4.4
Oslo - Blindern,SN18700,02.05.2024,16,21.8,9.9
Tromsø,SN90450,02.05.2024,5.5,8.4,4.1
Oslo - Blindern,SN18700,03.05.2024,15.5,22.3,8.7
Tromsø,SN90450,03.05.2024,4.9,9.1,3.9
Oslo - Blindern,SN18700,04.05.2024,16.3,23.7,8.2
Tromsø,SN90450,04.05.2024,2.8,5,1.4
Oslo - Blindern,SN18700,05.05.2024,12.5,20.6,9.7
Tromsø,SN90450,05.05.2024,1.1,2.5,0.5
Oslo - Blindern,SN18700,06.05.2024,10.5,14.5,9.3
Tromsø,SN90450,06.05.2024,1.3,3,-0.4
Oslo - Blindern,SN18700,07.05.2024,10.9,16.1,7.6
Tromsø,SN90450,07.05.2024,2.5,5.6,-2
Oslo - Blindern,SN18700,08.05.2024,11.6,18,6.3
Tromsø,SN90450,08.05.2024,4.1,7.2,-0.5
Oslo - Blindern,SN18700,09.05.2024,11.9,16.6,9.6
Tromsø,SN90450,09.05.2024,4.3,7.3,3.3
Oslo - Blindern,SN18700,10.05.2024,11.2,15.2,6.9
Tromsø,SN90450,10.05.2024,2.8,4.3,1.4
Oslo - Blindern,SN18700,11.05.2024,13.5,19.9,6
Tromsø,SN90450,11.05.2024,4.8,7.5,2.5
Oslo - Blindern,SN18700,12.05.2024,14.2,21.7,7.2
Tromsø,SN90450,12.05.2024,5.8,6.8,3.1
Oslo - Blindern,SN18700,13.05.2024,15.4,22.3,7.9
Tromsø,SN90450,13.05.2024,8.1,9.9,6.3
Oslo - Blindern,SN18700,14.05.2024,16.1,22.8,7.8
Tromsø,SN90450,14.05.2024,11.4,15.4,7.7
Oslo - Blindern,SN18700,15.05.2024,18.2,25,9.4
Tromsø,SN90450,15.05.2024,6.5,13.6,5.8
Oslo - Blindern,SN18700,16.05.2024,18.3,23.9,10.5
Tromsø,SN90450,16.05.2024,6.9,9.6,5
Oslo - Blindern,SN18700,17.05.2024,17.4,24.2,10.4
Tromsø,SN90450,17.05.2024,13.4,20.8,3.7
Oslo - Blindern,SN18700,18.05.2024,17.6,24.5,9
Tromsø,SN90450,18.05.2024,6.8,17,5
Oslo - Blindern,SN18700,19.05.2024,18.1,25.6,8.7
Tromsø,SN90450,19.05.2024,2.3,5.1,1.3
Oslo - Blindern,SN18700,20.05.2024,16.2,21.9,12.2
Tromsø,SN90450,20.05.2024,0.5,4.1,-1.2
Oslo - Blindern,SN18700,21.05.2024,17.6,24.2,10.5
Tromsø,SN90450,21.05.2024,2.6,6.1,-1.1
Oslo - Blindern,SN18700,22.05.2024,18.7,24.7,10.5
Tromsø,SN90450,22.05.2024,7.3,11.8,1.5
Oslo - Blindern,SN18700,23.05.2024,20.5,25.6,14.1
Tromsø,SN90450,23.05.2024,12.8,20.8,6.2
Oslo - Blindern,SN18700,24.05.2024,18.5,24,17.1
Tromsø,SN90450,24.05.2024,5.8,11.4,4.4
Oslo - Blindern,SN18700,25.05.2024,20.1,25.9,13.8
Tromsø,SN90450,25.05.2024,6.5,10.1,2.4
Oslo - Blindern,SN18700,26.05.2024,21.4,27.2,17.8
Tromsø,SN90450,26.05.2024,12.5,18.4,5.5
Oslo - Blindern,SN18700,27.05.2024,16.8,21.7,15.5
Tromsø,SN90450,27.05.2024,10.5,15,6.5
Oslo - Blindern,SN18700,28.05.2024,17.1,22.6,13
Tromsø,SN90450,28.05.2024,15.6,22.9,8.2
Oslo - Blindern,SN18700,29.05.2024,15.9,20,11.9
Tromsø,SN90450,29.05.2024,15.3,20.9,11.6
Oslo - Blindern,SN18700,30.05.2024,15.6,18.6,12.9
Tromsø,SN90450,30.05.2024,16.2,26.6,11.2
Oslo - Blindern,SN18700,31.05.2024,20.1,26.3,13.1
Tromsø,SN90450,31.05.2024,12.1,16.3,9.5
Oslo - Blindern,SN18700,01.06.2024,20.7,26.2,15.8
Tromsø,SN90450,01.06.2024,9.2,10.8,7.9
Oslo - Blindern,SN18700,02.06.2024,21.1,26.1,17
Tromsø,SN90450,02.06.2024,11.3,14,8.2
Oslo - Blindern,SN18700,03.06.2024,17.9,24.2,14.9
Tromsø,SN90450,03.06.2024,12,16.2,8.9
Oslo - Blindern,SN18700,04.06.2024,14.3,17.9,8.4
Tromsø,SN90450,04.06.2024,10.6,14.8,6.8
Oslo - Blindern,SN18700,05.06.2024,12.3,16.2,9.6
Tromsø,SN90450,05.06.2024,17.3,22.5,7.4
Oslo - Blindern,SN18700,06.06.2024,11.1,17,6.7
Tromsø,SN90450,06.06.2024,15,23.3,11.6
Oslo - Blindern,SN18700,07.06.2024,10.6,17.1,4.7
Tromsø,SN90450,07.06.2024,10.4,15.4,8.4
Oslo - Blindern,SN18700,08.06.2024,9.6,13,7.7
Tromsø,SN90450,08.06.2024,8.4,9.8,7.6
Oslo - Blindern,SN18700,09.06.2024,9.9,15.1,5.2
Tromsø,SN90450,09.06.2024,13,18.7,5.6
Oslo - Blindern,SN18700,10.06.2024,12,18.1,4.4
Tromsø,SN90450,10.06.2024,14.6,20.7,8.5
Oslo - Blindern,SN18700,11.06.2024,14.7,21.2,7.8
Tromsø,SN90450,11.06.2024,12.4,16.2,10.7
Oslo - Blindern,SN18700,12.06.2024,12.4,18,10.5
Tromsø,SN90450,12.06.2024,9.8,12.1,9.1
Oslo - Blindern,SN18700,13.06.2024,12.6,17.9,10.1
Tromsø,SN90450,13.06.2024,10.5,15.5,7.9
Oslo - Blindern,SN18700,14.06.2024,13.7,17.8,9.4
Tromsø,SN90450,14.06.2024,10.2,14.1,6.7
Oslo - Blindern,SN18700,15.06.2024,14.4,19.5,10.8
Tromsø,SN90450,15.06.2024,11.5,16.8,7.9
Oslo - Blindern,SN18700,16.06.2024,14.8,19.1,11.7
Tromsø,SN90450,16.06.2024,11.5,16.8,7.7
Oslo - Blindern,SN18700,17.06.2024,15.2,18.7,12.6
Tromsø,SN90450,17.06.2024,17,22,9.8
Oslo - Blindern,SN18700,18.06.2024,13.3,17.3,11.3
Tromsø,SN90450,18.06.2024,16.1,20.5,13.7
Oslo - Blindern,SN18700,19.06.2024,15.9,22.6,9.3
Tromsø,SN90450,19.06.2024,12.6,16.6,10.3
Oslo - Blindern,SN18700,20.06.2024,16.3,22.8,10.9
Tromsø,SN90450,20.06.2024,10,13.4,7.6
Oslo - Blindern,SN18700,21.06.2024,16.4,22.9,9.1
Tromsø,SN90450,21.06.2024,10.2,12.4,7.6
Oslo - Blindern,SN18700,22.06.2024,13.9,19.1,10.8
Tromsø,SN90450,22.06.2024,12,16,8.2
Oslo - Blindern,SN18700,23.06.2024,16,21.1,11.2
Tromsø,SN90450,23.06.2024,15.5,23.5,8
Oslo - Blindern,SN18700,24.06.2024,18.7,24.9,10.4
Tromsø,SN90450,24.06.2024,11.8,13.8,11
Oslo - Blindern,SN18700,25.06.2024,18.1,23,13.9
Tromsø,SN90450,25.06.2024,11.4,13,10.2
Oslo - Blindern,SN18700,26.06.2024,19,24.5,15.5
Tromsø,SN90450,26.06.2024,11.3,15.4,8.8
Oslo - Blindern,SN18700,27.06.2024,22.6,28.3,14
Tromsø,SN90450,27.06.2024,12.1,15.5,8.9
Oslo - Blindern,SN18700,28.06.2024,18.8,26.3,17.8
Tromsø,SN90450,28.06.2024,14.3,20,7.5
Oslo - Blindern,SN18700,29.06.2024,16.1,20.7,12.4
Tromsø,SN90450,29.06.2024,15.8,20.3,11.6
Oslo - Blindern,SN18700,30.06.2024,14.7,20.1,9.7
Tromsø,SN90450,30.06.2024,13.7,18,12
Oslo - Blindern,SN18700,01.07.2024,16.2,21.1,10
Tromsø,SN90450,01.07.2024,15.1,19.6,9.3
Oslo - Blindern,SN18700,02.07.2024,16.1,19.3,10.7
Tromsø,SN90450,02.07.2024,10.9,16.5,9.4
Oslo - Blindern,SN18700,03.07.2024,16.5,22.6,11.3
Tromsø,SN90450,03.07.2024,9.9,12.5,7.9
Oslo - Blindern,SN18700,04.07.2024,12.3,17.1,11.1
Tromsø,SN90450,04.07.2024,12.7,17.9,8.4
Oslo - Blindern,SN18700,05.07.2024,12.7,16.8,8.7
Tromsø,SN90450,05.07.2024,15.9,21.7,8.9
Oslo - Blindern,SN18700,06.07.2024,13.7,17.8,9.6
Tromsø,SN90450,06.07.2024,13.6,18,11.4
Oslo - Blindern,SN18700,07.07.2024,13.2,15.1,11.8
Tromsø,SN90450,07.07.2024,12.1,17.3,9.6
Oslo - Blindern,SN18700,08.07.2024,14.6,20,9.3
Tromsø,SN90450,08.07.2024,10.3,13.8,8.7
Oslo - Blindern,SN18700,09.07.2024,15.9,22,10
Tromsø,SN90450,09.07.2024,9.8,11.5,8.4
Oslo - Blindern,SN18700,10.07.2024,13.8,17.7,10.6
Tromsø,SN90450,10.07.2024,11.3,14.9,9.1
Oslo - Blindern,SN18700,11.07.2024,17.5,22.1,14.9
Tromsø,SN90450,11.07.2024,12.6,16.1,7.6
Oslo - Blindern,SN18700,12.07.2024,17.9,22.6,13.9
Tromsø,SN90450,12.07.2024,11.9,14.9,10.9
Oslo - Blindern,SN18700,13.07.2024,20.4,25.5,12.8
Tromsø,SN90450,13.07.2024,12.6,16.4,10.7
Oslo - Blindern,SN18700,14.07.2024,16.3,23.4,14.7
Tromsø,SN90450,14.07.2024,13.8,17.7,9
Oslo - Blindern,SN18700,15.07.2024,15.6,18.5,13.9
Tromsø,SN90450,15.07.2024,13.3,18.6,9.7
Oslo - Blindern,SN18700,16.07.2024,16.7,20.9,14
Tromsø,SN90450,16.07.2024,13.5,19.3,9.1
Oslo - Blindern,SN18700,17.07.2024,16.6,18.2,15.4
Tromsø,SN90450,17.07.2024,14,18.9,10.1
Oslo - Blindern,SN18700,18.07.2024,19.6,25.6,14.5
Tromsø,SN90450,18.07.2024,17.4,23.8,10.3
Oslo - Blindern,SN18700,19.07.2024,19.3,25.2,13
Tromsø,SN90450,19.07.2024,15.9,21.9,13.4
Oslo - Blindern,SN18700,20.07.2024,20,26.2,13.8
Tromsø,SN90450,20.07.2024,14.9,19.8,11.9
Oslo - Blindern,SN18700,21.07.2024,21.7,27,14.8
Tromsø,SN90450,21.07.2024,19,24.5,11.5
Oslo - Blindern,SN18700,22.07.2024,17.6,23.4,15.8
Tromsø,SN90450,22.07.2024,21.6,28.5,15.8
Oslo - Blindern,SN18700,23.07.2024,19.1,24,15.5
Tromsø,SN90450,23.07.2024,19.3,27.2,14.5
Oslo - Blindern,SN18700,24.07.2024,16,20.1,13.8
Tromsø,SN90450,24.07.2024,12.5,16.3,11.5
Oslo - Blindern,SN18700,25.07.2024,18,22.9,13.4
Tromsø,SN90450,25.07.2024,14.3,18.3,11
Oslo - Blindern,SN18700,26.07.2024,16,18.8,14.7
Tromsø,SN90450,26.07.2024,18.3,24.7,12.3
Oslo - Blindern,SN18700,27.07.2024,17.6,21.9,15.8
Tromsø,SN90450,27.07.2024,18.9,25.1,14.3
Oslo - Blindern,SN18700,28.07.2024,18,23.8,13
Tromsø,SN90450,28.07.2024,13.3,18.1,12.1
Oslo - Blindern,SN18700,29.07.2024,17.5,23.3,12.2
Tromsø,SN90450,29.07.2024,14.3,17.5,10.3
Oslo - Blindern,SN18700,30.07.2024,17.9,24.3,11.8
